NS 100
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 0660
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 6013
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 8602
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 5902
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 4884
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 4888
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 3773
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 8602
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 4895
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 9340
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 5995
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 0824
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 1962
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 4268
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 5906
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 6013
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 033
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2882
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 7300
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 7300
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2046
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 8411
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 5582
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 3773
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 4895
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 040
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 9346
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 1148
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 4268
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2855
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 1771
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 0440
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2255
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 0440
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 8448
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 7717
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 6226
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2259
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2073
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 7117
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 3373
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 1562
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2046
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 4895
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2262
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 6006
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 7711
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 3784
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 8822
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 5588
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 6000
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 0633
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 1151
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 4004
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 7704
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 7337
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 7700
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 5379
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 9933
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 0660
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 1568
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2259
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2673
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 5902
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
