NS 100
PHF +3,+0,+4,+9
ROOT 8568
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 1611
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 2601
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 2821
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 9758
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 0869
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 1891
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 7277
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 3833
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 2900
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 2788
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 6124
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 1970
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 8487
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 0869
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 2902
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 5312
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4823
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 9457
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 1598
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 3710
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 1590
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 3192
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 5011
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 8388
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 0647
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 0568
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 9598
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 7457
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 9499
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 7156
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4823
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 6045
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 9499
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 3932
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 5011
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 5312
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4823
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 2089
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 9536
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 6122
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 2900
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4902
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 8267
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 5055
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 8524
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 8487
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 5312
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 7156
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 3970
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 2788
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4823
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 0609
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 9758
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 0489
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 0867
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
